top # of balance,,spam_score,adr,balance@0516,note,
13259,spam_score:,115,GB5QKD7NU63MOL7G52SAHYOPAY44RWPM4F23K4NO3GYHGQOXEGVCEHZV,2 ,,
13800,spam_score:,115,GAWFANGVYSLQQQ67Q3PAPSBD4KF6RUBEHC6KCO675BABQEYWWZMRQ72A,1 ,,
10870,spam_score:,114,GCM4U4H5XUYET3WBJIKBG26RQQ7NLVJNTK6O5Y6NQYHXLWTUH53R5DQF,99 ,,
1060,spam_score:,113,GA74IKLXCDBREDN5UBSHTQSDSMHFFGUBRUXIHAH27FN54YRCDSK544IT,"10,003 ",,
14559,spam_score:,112,GC2UELUDMZ66LY6YMEW62W2TFVLY7GFCLDCESVIPZ7S6DITZRPXIPNCH,1 ,,
8873,spam_score:,111,GDXCHFICK56CU7DPIL3EVJGL6F4FPYVPLT65QVBARLRACCZBPAFIAP4E,749 ,,
2377,spam_score:,110,GCNLKHP7VFWHB5SA2VKUUYZ7OJWLDDAR5RJQYHQGDPNIU2KNWBPT7ZQW,"5,029 ",,
2050,spam_score:,109,GA4OA4DN7T6F6YGVCCL2CKSQGJXAAFKROCJMDQWBTZQRMLYXCB5BVHDZ,"5,687 ",,
10980,spam_score:,108,GDUHM7C75RJTDUOVVKZXUH4C3Z7OGXTNAEUXN7DJ23IBSITDNBKPQN3C,78 ,,
247,spam_score:,107,GDNZKZSVPL6DQZG6CJ42X3EUD3BS4DUGOGEACEQRN4KVB5GYGLXIWEM3,"30,420 ",,
1193,spam_score:,107,GD25D7YRBMGX3WE5S76EL2LTK7GXCV3IFCZUPJ7PT6B7OGMMEBDR3OQS,"9,251 ",,
11396,spam_score:,107,GA3C2JBVYI6LHSIMC2DPVIT53PWV4WEXYFYWBJNFW7EEQBXKKZF5ZTV2,34 ,,
13632,spam_score:,107,GBZN6EXWGV3X36ZIOG7IRJ42ZWOCSR4XR42AGJ54GGOOGT3P2ZSQGK7Y,2 ,,
11241,spam_score:,106,GCS6WK574ABGYXQ5NVSHYLEKMSCZFX3CQWMVLORCMXX7K5BN5VOPK5ZM,48 ,,
12430,spam_score:,103,GA52NCNCKKDK32V7SKKBI44FIQ4IXUGDDVTITLYX5SQ7LCIDJEZKBKNX,4 ,,
14737,spam_score:,103,GDSELG3PF7RMRCII6KR6LGLXQS5KRYWUQRELP3JSFM3AJADV4NDTWFXR,1 ,,
10,spam_score:,102,GCNGJ7SHB2FTG5WCOS7SG5JOZEE4NSNGQ6JEBRTMREXVOEUCG763QGKZ,"203,157 ",,
14010,spam_score:,102,GB37OS74AMDI2N5OJHSW5JTO6VBS75BTWUMXA4HOZNFLGYT3ESDQF4IA,1 ,,
13246,spam_score:,101,GAWQBAIE574NRFB4GSVNFX3WDRGXFQ24PW7V6HO23GKAKVHF6CPKN3VZ,2 ,,
14702,spam_score:,100,GA2SRVL4MXXYOR7P7MVVOT6FRFVED6IKVAGUOV6P6UAMRWVK5CTUBC32,1 ,,
13641,spam_score:,99,GA2RLZO43ZQMKGV4KWGXJUTK4SSOPH3EO4AY4GUYDGLYEQNDKHBFWCUY,2 ,,
13561,spam_score:,97,GDVRPJNY7WHDJSTBFEJPTEXOPKHOIOWQ6ICU5Y67HBLJ3RCAKI6VOVOW,2 ,,
115,spam_score:,96,GC6GTN65XVEPUGRIMG2JJ5VN5G7SUCMUF7AMDCPHYXSZFK3PGQHOMATC,"50,002 ",,
712,spam_score:,95,GBLTWFD4Q4JXZI4RCLHC3GGC7YLHUSZO372EOZ54NAEZ57QUOPCYY7HH,"13,962 ",,
2078,spam_score:,95,GDMQIM4MYFDTYDYBAY2TSWFSI5P33ZJ737RN63VPV5CGECCAYOLUJ43S,"5,623 ",,
13272,spam_score:,95,GDYUOTBN7IVXNKNZFC4S6GBZ2BUI6KAASURYFGCMNAU7FHLJK72EE4Y4,2 ,,
13664,spam_score:,94,GDOJSWI324SFBMVEIPK43LJ6MW7OA5PEEDWMJOJI6BLZLGO6QRBZU62G,2 ,,
10897,spam_score:,93,GDBWK4QD3OZUVL24TN5G3HWZHKNNKLAQMLR6HE7GPEQJHDBTDIKL3JXC,92 ,,
542,spam_score:,92,GASH36F5PKIQUW6UV6WR75B226XBK22D2FNT6HWRCGEKAMTXOEHMCHRP,"17,787 ",,
